Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,439
design__inferred_latch__count,0
design__instance__count,1808
design__instance__area,13720.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006679863436147571
power__switching__total,0.0008602338493801653
power__leakage__total,1.3788770125700012E-8
power__total,0.0015282339882105589
clock__skew__worst_hold__corner:nom_tt_025C_1v80,1.353879491282473
clock__skew__worst_setup__corner:nom_tt_025C_1v80,3.5117860724516023
timing__hold__ws__corner:nom_tt_025C_1v80,0.32183540077220457
timing__setup__ws__corner:nom_tt_025C_1v80,13.33137726833836
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,12
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,2.697635524650893
clock__skew__worst_setup__corner:nom_ss_100C_1v60,7.2615764345830485
timing__hold__ws__corner:nom_ss_100C_1v60,0.8629209813172775
timing__setup__ws__corner:nom_ss_100C_1v60,3.6911683643272455
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.861595763566454
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,2.105991662890983
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12238471693586431
timing__setup__ws__corner:nom_ff_n40C_1v95,16.964737650406082
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,40
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,2.7733416348411977
clock__skew__worst_setup,2.048445693272681
timing__hold__ws,0.11887396958810391
timing__setup__ws,3.3540868809493385
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1808
design__instance__area__stdcell,13720.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.831892
design__instance__utilization__stdcell,0.831892
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,40036.6
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,1579
route__net__special,2
route__drc_errors__iter:1,2334
route__wirelength__iter:1,47849
route__drc_errors__iter:2,1749
route__wirelength__iter:2,47363
route__drc_errors__iter:3,1816
route__wirelength__iter:3,46981
route__drc_errors__iter:4,569
route__wirelength__iter:4,46850
route__drc_errors__iter:5,211
route__wirelength__iter:5,46817
route__drc_errors__iter:6,68
route__wirelength__iter:6,46820
route__drc_errors__iter:7,10
route__wirelength__iter:7,46843
route__drc_errors__iter:8,0
route__wirelength__iter:8,46853
route__drc_errors,0
route__wirelength,46853
route__vias,13519
route__vias__singlecut,13519
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,192.605
timing__unannotated_net__count__corner:nom_tt_025C_1v80,27
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,27
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,27
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,1.3053576367081487
clock__skew__worst_setup__corner:min_tt_025C_1v80,3.4219972268848506
timing__hold__ws__corner:min_tt_025C_1v80,0.3186443976645792
timing__setup__ws__corner:min_tt_025C_1v80,13.55392281218612
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
